frame_no,timestamp_sec,lon,lat
690,137.8,76.260401865,25.99891
691,138.0,76.260414867,25.99895459
692,138.2,76.26042784,25.998998205
693,138.4,76.260440765,25.999041
694,138.6,76.260453606,25.999084505
695,138.8,76.260466736,
696,139.0,76.260479261,
697,139.2,76.260491874,25.99921609
698,139.4,76.260504081,25.999259268
699,139.6,76.260516163,25.999302857
700,139.8,76.260528168,25.999346552
701,140.0,76.260540201,25.999390242
702,140.2,76.260552247,
703,140.4,76.260564263,25.999477752
704,140.6,76.260576492,25.999521
705,140.8,76.260588654,25.999565265
706,141.0,76.260600679,25.99960838
707,141.2,76.260612888,
708,141.4,76.260625034,25.999695769
709,141.6,76.260637963,
710,141.8,76.260650025,25.999785072
711,142.0,76.260662325,25.999828835
712,142.2,76.260674498,25.999871
713,142.4,76.26068715,25.999916116
714,142.6,76.260699123,25.999959146
715,142.8,76.260710687,26.000002829
716,143.0,76.260722082,26.000046545
717,143.2,76.260734406,26.000092765
718,143.4,76.260745448,
719,143.6,76.26075791,
720,143.8,76.260769796,
721,144.0,76.260781508,26.000266757
722,144.2,76.260793408,26.000310445
723,144.4,76.260805403,
724,144.6,76.260817185,26.00039821
725,144.8,76.260828762,26.00044208
726,145.0,76.260840137,26.000485875
727,145.2,76.260851435,26.000529679
728,145.4,76.260863154,
729,145.6,76.260873855,26.000615951
730,145.8,76.260885292,26.000659859
731,146.0,76.260896918,26.000704535
732,146.2,76.260908228,
733,146.4,76.260920031,26.000793062
734,146.6,76.260931667,26.000836772
735,146.8,76.260943245,26.000880583
736,147.0,76.260955028,26.000926082
737,147.2,76.260965647,
738,147.4,76.260976851,26.001011933
739,147.6,76.26098829,26.001
740,147.8,76.260999554,26.001
741,148.0,76.261010409,26.001143741
742,148.2,76.261021703,26.001
743,148.4,76.261032796,
744,148.6,76.261043523,26.001
745,148.8,76.261054704,26.001
746,149.0,76.261065318,26.001364615
747,149.2,76.26107578,26.001
748,149.4,76.26108682,26.001
749,149.6,76.261097914,26.001497886
750,149.8,76.261,26.001
751,150.0,76.261119005,26.001
752,150.2,76.261,26.001
753,150.4,76.261,26.001
754,150.6,76.261150611,26.00171548
755,150.8,76.261161725,
756,151.0,76.261,26.001
757,151.2,76.261,26.001
758,151.4,76.261193293,26.00189259
759,151.6,76.261204034,26.001937491
760,151.8,76.261214316,26.001
761,152.0,76.261225463,26.002026853
762,152.2,76.261235767,26.002069696
763,152.4,76.261246275,
764,152.6,76.261257101,
765,152.8,76.261267667,26.002201
766,153.0,76.261277731,26.002244387
767,153.2,76.261288579,
768,153.4,76.261298992,26.002333625
769,153.6,76.261309704,26.00237866
770,153.8,76.261319921,26.002421915
771,154.0,76.261330545,26.002467785
772,154.2,76.261340566,26.002510878
773,154.4,76.261350505,26.00255356
774,154.6,76.261360943,26.002599451
775,154.8,76.26137083,26.002642893
776,155.0,76.261381076,26.002687952
777,155.2,76.261390862,26.002731
778,155.4,76.261400971,26.002776467
779,155.6,76.261410713,26.002820049
780,155.8,76.261420791,26.00286493
781,156.0,76.261430665,
782,156.2,76.261440902,26.002954423
783,156.4,76.261450199,26.002996767
784,156.6,76.261460245,26.003042821
785,156.8,76.261469688,26.00308608
786,157.0,76.261479004,
787,157.2,76.261489042,
788,157.4,76.261498297,26.003217164
789,157.6,76.261508277,
790,157.8,76.26151752,26.003305856
791,158.0,76.26152743,26.003351
792,158.2,76.261536701,
793,158.4,76.261546409,26.003440325
794,158.6,76.261555773,26.003483799
795,158.8,76.261565737,26.003529973
796,159.0,76.261575028,
797,159.2,76.261584352,26.003616569
798,159.4,76.26159425,26.003662871
799,159.6,76.261603407,26.00370609
800,159.8,76.261612547,26.00374966
801,160.0,76.261622131,26.003795637
802,160.2,76.261631,26.003838926
803,160.4,76.261640136,26.003882422
804,160.6,76.26164902,26.003925986
805,160.8,76.261658279,26.003971
806,161.0,76.261667195,26.004016421
807,161.2,76.261676146,26.004059923
808,161.4,76.261685265,
809,161.6,76.261695062,
810,161.8,76.26170465,
811,162.0,76.261714054,
812,162.2,76.26172348,26.004281
